,PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
70,0074_01,Europa,FALSE,C/3/S,TRAPPIST-1e,42,FALSE,1,8397,0,0,506,Aldibah Mostedry,TRUE
71,0076_01,Mars,FALSE,F/18/S,TRAPPIST-1e,27,FALSE,147,0,1018,0,0,Conk Dal,TRUE
72,0077_01,Mars,FALSE,F/15/P,TRAPPIST-1e,28,FALSE,14,0,1295,0,0,Pon Blité,TRUE
73,0078_01,Europa,FALSE,C/4/S,TRAPPIST-1e,38,FALSE,0,5840,0,321,9654,Spuri Pokerheed,FALSE
74,0081_01,Earth,TRUE,G/13/S,TRAPPIST-1e,13,FALSE,0,0,0,0,0,Dellie Vinozarks,FALSE
75,0082_01,Mars,FALSE,F/16/P,TRAPPIST-1e,42,FALSE,7406,0,0,0,0,Totse Datte,FALSE
76,0082_02,Mars,TRUE,F/16/P,TRAPPIST-1e,2,FALSE,0,0,0,0,0,Eaturs Datte,TRUE
78,0084_01,Earth,FALSE,G/14/S,TRAPPIST-1e,24,FALSE,688,0,0,0,17,Coren Coopezmaney,TRUE
79,0085_01,Europa,TRUE,C/5/S,TRAPPIST-1e,40,FALSE,0,0,0,0,0,Furudah Ellcefulve,TRUE
80,0086_01,Earth,FALSE,F/17/P,TRAPPIST-1e,43,FALSE,211,0,0,638,513,Jodye Kinson,FALSE
81,0088_01,Mars,TRUE,E/5/S,PSO J318.5-22,45,FALSE,0,0,0,0,0,Stmeal Sacre,TRUE
82,0090_01,Earth,TRUE,G/15/S,TRAPPIST-1e,35,FALSE,0,0,0,0,0,Heremy Santry,TRUE
84,0091_02,Earth,FALSE,F/20/S,TRAPPIST-1e,27,FALSE,1,697,31,188,0,Tinez Yorkland,FALSE
85,0092_01,Earth,FALSE,G/9/P,TRAPPIST-1e,19,FALSE,0,0,670,1,34,Gracy Dunnisey,FALSE
87,0092_03,Earth,TRUE,G/9/P,TRAPPIST-1e,3,FALSE,0,0,0,0,0,Tiney Hewson,TRUE
88,0097_01,Europa,FALSE,A/2/S,TRAPPIST-1e,54,FALSE,0,1208,0,3,637,Alchium Fictful,FALSE
89,0098_01,Earth,FALSE,G/11/P,TRAPPIST-1e,26,FALSE,0,856,5,32,0,Doria Carezquez,FALSE
90,0098_02,Earth,FALSE,G/11/P,TRAPPIST-1e,26,FALSE,0,2811,957,0,87,Leence Carezquez,TRUE
91,0099_01,Earth,FALSE,F/19/P,PSO J318.5-22,23,FALSE,311,427,526,37,0,Aliey Leetersoney,FALSE
94,0102_01,Earth,FALSE,F/23/S,TRAPPIST-1e,18,FALSE,0,0,0,830,91,Ritany Holson,FALSE
96,0103_02,Earth,TRUE,G/18/S,55 Cancri e,9,FALSE,0,0,0,0,0,Shaele Mclainez,TRUE
97,0103_03,Earth,TRUE,G/18/S,TRAPPIST-1e,6,FALSE,0,0,0,0,0,Fanne Mclainez,FALSE
99,0107_01,Mars,FALSE,D/2/S,TRAPPIST-1e,21,FALSE,1743,5,17,0,0,Coobix Hart,FALSE
100,0108_01,Earth,TRUE,G/19/S,TRAPPIST-1e,23,FALSE,0,0,0,0,0,Natald Handertiz,FALSE
105,0110_03,Europa,FALSE,B/5/P,TRAPPIST-1e,42,FALSE,2209,11418,0,1868,445,Alaratz Aloubtled,TRUE
106,0110_04,Europa,TRUE,B/5/P,TRAPPIST-1e,28,FALSE,0,0,0,0,0,Izark Aloubtled,TRUE
107,0111_01,Europa,TRUE,E/6/S,TRAPPIST-1e,29,FALSE,0,0,0,0,0,Aldera Supred,TRUE
108,0112_01,Europa,FALSE,B/1/S,55 Cancri e,48,TRUE,0,2537,87,17,13,Moth Cowtale,TRUE
109,0113_01,Earth,FALSE,F/23/P,TRAPPIST-1e,64,FALSE,0,0,804,0,0,Idary Carvis,TRUE
110,0114_01,Earth,FALSE,G/20/S,TRAPPIST-1e,27,FALSE,82,157,429,238,1,Maura Beckerson,FALSE
112,0116_01,Europa,FALSE,D/4/P,TRAPPIST-1e,33,FALSE,1,2223,0,12,404,Alhenah Suptive,TRUE
114,0119_02,Europa,TRUE,A/0/P,TRAPPIST-1e,13,FALSE,0,0,0,0,0,Kleeiak Coning,TRUE
116,0122_01,Earth,FALSE,G/21/S,TRAPPIST-1e,29,FALSE,0,0,0,699,74,Shelle Hayder,FALSE
117,0123_01,Earth,FALSE,F/27/P,TRAPPIST-1e,18,FALSE,55,597,49,0,1,Iree Fielson,FALSE
118,0126_01,Mars,TRUE,F/27/S,TRAPPIST-1e,67,FALSE,0,0,0,0,0,Milly Mish,TRUE
119,0127_01,Mars,FALSE,E/7/S,TRAPPIST-1e,35,FALSE,701,0,296,0,25,Miloss Mesty,FALSE
120,0128_01,Mars,FALSE,D/3/S,TRAPPIST-1e,61,TRUE,2353,334,9,316,2,Grohs Fles,FALSE
121,0128_02,Mars,FALSE,E/8/S,TRAPPIST-1e,45,FALSE,2103,6,0,0,0,Barave Fles,FALSE
123,0133_01,Mars,TRUE,F/29/S,TRAPPIST-1e,19,FALSE,0,0,0,0,0,Flynx Blie,TRUE
124,0133_02,Mars,FALSE,D/5/S,TRAPPIST-1e,36,FALSE,2738,0,0,0,0,Egrasp Blie,FALSE
125,0134_01,Earth,FALSE,G/17/P,TRAPPIST-1e,19,FALSE,0,14,730,0,0,Camina Harmontry,TRUE
127,0138_01,Earth,TRUE,G/18/P,TRAPPIST-1e,13,FALSE,0,0,0,0,0,Fayene Gambs,TRUE
129,0139_01,Europa,TRUE,C/6/S,55 Cancri e,35,FALSE,0,0,0,0,0,Charda Myling,TRUE
130,0140_01,Earth,TRUE,G/19/P,TRAPPIST-1e,24,FALSE,0,0,0,0,0,Evaley Mejiaddox,TRUE
131,0140_02,Earth,FALSE,F/29/P,TRAPPIST-1e,26,FALSE,440,0,0,0,462,Verney Whitakers,FALSE
133,0144_01,Earth,FALSE,F/31/S,TRAPPIST-1e,20,FALSE,0,420,210,0,0,Guadae Dayers,TRUE
134,0146_01,Earth,FALSE,G/25/S,TRAPPIST-1e,56,FALSE,0,0,0,0,0,Verly Wolferguson,FALSE
135,0147_01,Earth,TRUE,G/26/S,TRAPPIST-1e,50,FALSE,0,0,0,0,0,Samie Hubbarrison,TRUE
136,0148_01,Mars,FALSE,F/31/P,TRAPPIST-1e,42,FALSE,1072,0,10,0,76,Corsh Pashe,FALSE
138,0151_01,Earth,TRUE,G/20/P,55 Cancri e,38,FALSE,0,0,0,0,0,Shanie Simson,FALSE
140,0160_01,Earth,FALSE,G/22/P,TRAPPIST-1e,22,FALSE,4119,0,0,0,61,Gory Atkinney,FALSE
141,0163_01,Europa,TRUE,B/8/P,TRAPPIST-1e,26,FALSE,0,0,0,0,0,Kabiton Hetforhaft,TRUE
142,0163_02,Europa,TRUE,B/8/P,TRAPPIST-1e,17,FALSE,0,0,0,0,0,Scharab Hetforhaft,TRUE
144,0164_02,Earth,TRUE,G/28/S,PSO J318.5-22,17,FALSE,0,0,0,0,0,Ianya Hutchinton,FALSE
146,0167_01,Mars,TRUE,F/35/S,TRAPPIST-1e,13,FALSE,0,0,0,0,0,Miten Floaf,TRUE
147,0167_02,Mars,FALSE,F/35/S,TRAPPIST-1e,27,FALSE,1365,0,48,22,137,Rios Floaf,FALSE
148,0169_01,Earth,TRUE,G/23/P,TRAPPIST-1e,31,FALSE,0,0,0,0,0,Wandy Fisherry,FALSE
149,0170_01,Earth,FALSE,E/10/S,TRAPPIST-1e,24,FALSE,0,0,0,221,567,Mollie Mcmahoney,FALSE
150,0171_01,Earth,TRUE,G/30/S,PSO J318.5-22,19,FALSE,0,0,0,0,0,Coracy Gordanieves,TRUE
151,0172_01,Earth,TRUE,G/24/P,TRAPPIST-1e,32,FALSE,0,0,0,0,0,Hanna Johnshines,TRUE
153,0174_01,Earth,FALSE,F/38/P,55 Cancri e,21,FALSE,287,0,16,115,175,Doryn Lambles,FALSE
154,0177_01,Europa,FALSE,B/2/S,TRAPPIST-1e,38,FALSE,0,10346,1,14970,2111,Toperon Iniouser,FALSE
155,0178_01,Mars,FALSE,D/6/S,TRAPPIST-1e,38,FALSE,3414,0,161,28,119,Wees Knik,FALSE
156,0179_01,Earth,FALSE,G/26/P,TRAPPIST-1e,19,FALSE,1,219,673,2,11,Elaney Webstephrey,TRUE
157,0179_02,Earth,FALSE,G/26/P,TRAPPIST-1e,0,FALSE,0,0,0,0,0,Raque Webstephrey,FALSE
158,0179_03,Earth,FALSE,G/26/P,TRAPPIST-1e,3,FALSE,0,0,0,0,0,Sallyl Webstephrey,TRUE
159,0181_01,Earth,FALSE,G/27/P,TRAPPIST-1e,20,FALSE,0,0,3,299,92,Nancis Brighttt,FALSE
160,0182_01,Europa,TRUE,C/3/P,TRAPPIST-1e,24,FALSE,0,0,0,0,0,Ksorab Disight,TRUE
161,0183_01,Earth,FALSE,F/36/S,TRAPPIST-1e,37,FALSE,17,146,426,0,232,Stany Weaves,TRUE
162,0186_01,Earth,FALSE,G/28/P,TRAPPIST-1e,25,FALSE,62,0,0,0,956,Camiet Shephendry,FALSE
163,0188_01,Earth,TRUE,G/31/S,TRAPPIST-1e,56,FALSE,0,0,0,0,0,Branda Romez,TRUE
164,0189_01,Earth,FALSE,E/8/P,55 Cancri e,49,FALSE,84,3,401,202,98,Helly Booters,FALSE
166,0192_01,Earth,TRUE,G/29/P,TRAPPIST-1e,1,FALSE,0,0,0,0,0,Tance Adavisons,TRUE
167,0192_02,Earth,FALSE,G/29/P,TRAPPIST-1e,8,FALSE,0,0,0,0,0,Robyny Adavisons,FALSE
168,0192_03,Earth,FALSE,G/29/P,TRAPPIST-1e,39,FALSE,0,0,10,898,0,Lilace Adavisons,FALSE
169,0193_01,Mars,TRUE,F/41/P,TRAPPIST-1e,2,FALSE,0,0,0,0,0,Sps Raf,TRUE
171,0193_03,Mars,FALSE,F/41/P,TRAPPIST-1e,0,FALSE,0,0,0,0,0,Goles Raf,TRUE
172,0195_01,Mars,FALSE,F/42/P,TRAPPIST-1e,39,FALSE,406,0,867,0,0,Bar Floaf,TRUE
173,0196_01,Mars,FALSE,D/5/P,PSO J318.5-22,25,FALSE,1052,0,719,0,7,Caper Emead,FALSE
174,0197_01,Europa,FALSE,C/5/P,TRAPPIST-1e,36,FALSE,0,972,0,795,575,Astrak Dissper,FALSE
176,0199_01,Earth,TRUE,G/33/S,TRAPPIST-1e,18,FALSE,0,0,0,0,0,Regana Morrows,FALSE
177,0200_01,Earth,TRUE,G/31/P,TRAPPIST-1e,15,FALSE,0,0,0,0,0,Elia Colomonson,TRUE
178,0201_01,Europa,TRUE,B/3/S,TRAPPIST-1e,35,FALSE,0,0,0,0,0,Kaffias Bacistion,TRUE
179,0201_02,Europa,TRUE,B/3/S,TRAPPIST-1e,47,FALSE,0,0,0,0,0,Edaruma Bacistion,TRUE
180,0202_01,Europa,TRUE,B/9/P,55 Cancri e,45,FALSE,0,0,0,0,0,Pomera Embleng,TRUE
182,0203_01,Europa,TRUE,C/8/S,TRAPPIST-1e,51,FALSE,0,0,0,0,0,Ancham Heateele,TRUE
183,0205_01,Earth,FALSE,G/34/S,TRAPPIST-1e,29,FALSE,0,2,66,0,705,Carma Oneiles,FALSE
185,0207_01,Earth,TRUE,G/32/P,PSO J318.5-22,19,FALSE,0,0,0,0,0,Thony Mcfaddennon,FALSE
187,0211_01,Mars,FALSE,F/44/P,TRAPPIST-1e,29,FALSE,902,1,137,0,0,Pebuts Appie,TRUE
188,0211_02,Mars,TRUE,F/44/P,TRAPPIST-1e,11,FALSE,0,0,0,0,0,Corsh Appie,TRUE
189,0211_03,Mars,FALSE,F/44/P,TRAPPIST-1e,17,FALSE,848,0,307,182,0,Picers Date,FALSE
190,0212_01,Earth,FALSE,E/9/P,TRAPPIST-1e,13,FALSE,192,0,0,51,739,Inen Workmans,FALSE
191,0212_02,Earth,FALSE,F/45/P,TRAPPIST-1e,35,FALSE,147,188,0,10,387,Shally Workmans,FALSE
192,0213_01,Earth,FALSE,F/46/P,TRAPPIST-1e,21,FALSE,367,281,0,0,146,Carita Navages,FALSE
193,0216_01,Earth,FALSE,F/40/S,55 Cancri e,21,FALSE,0,56,0,0,1918,Searla Garnes,FALSE
194,0217_01,Earth,FALSE,F/47/P,TRAPPIST-1e,38,FALSE,1517,0,0,27,0,Prilly Shieldson,FALSE
195,0219_01,Earth,TRUE,G/36/P,TRAPPIST-1e,19,FALSE,0,0,0,0,0,Nica River,TRUE
196,0220_01,Earth,TRUE,G/37/P,TRAPPIST-1e,2,FALSE,0,0,0,0,0,Tyle Wilsoney,TRUE
197,0220_02,Earth,FALSE,G/37/P,TRAPPIST-1e,0,FALSE,0,0,0,0,0,Wena Wilsoney,TRUE
198,0220_03,Earth,TRUE,G/37/P,TRAPPIST-1e,13,FALSE,0,0,0,0,0,Branca Wilsoney,FALSE
200,0220_05,Earth,FALSE,F/48/P,TRAPPIST-1e,16,FALSE,0,3,0,0,1099,Velyne Wilsoney,FALSE
201,0220_06,Earth,FALSE,G/37/P,55 Cancri e,1,FALSE,0,0,0,0,0,Weney Wilsoney,FALSE
202,0220_07,Earth,TRUE,G/37/P,TRAPPIST-1e,15,FALSE,0,0,0,0,0,Guye Wilsoney,TRUE
203,0221_01,Mars,FALSE,E/13/S,55 Cancri e,21,FALSE,2237,0,119,0,0,Cowhex Blan,FALSE
204,0221_02,Mars,FALSE,E/13/S,TRAPPIST-1e,23,FALSE,1215,80,1,2,0,Yogark Reke,FALSE
205,0221_03,Mars,FALSE,E/13/S,TRAPPIST-1e,33,FALSE,1933,12,188,1,0,Jacks Reke,FALSE
206,0221_04,Mars,TRUE,E/13/S,TRAPPIST-1e,21,FALSE,0,0,0,0,0,Eerch Reke,TRUE
207,0221_05,Mars,FALSE,E/13/S,TRAPPIST-1e,41,FALSE,1230,0,301,43,1023,Panbug Reke,FALSE
208,0221_06,Mars,FALSE,E/13/S,TRAPPIST-1e,16,FALSE,915,0,221,234,0,Gran Reke,FALSE
209,0221_07,Mars,TRUE,E/13/S,TRAPPIST-1e,42,FALSE,0,0,0,0,0,Rohs Reke,FALSE
210,0222_01,Mars,FALSE,F/41/S,TRAPPIST-1e,20,FALSE,1406,0,0,11,0,Gone Perte,FALSE
211,0222_02,Mars,TRUE,F/41/S,TRAPPIST-1e,24,FALSE,0,0,0,0,0,Colf Deva,TRUE
212,0222_03,Mars,TRUE,E/14/S,TRAPPIST-1e,16,FALSE,0,0,0,0,0,Grake Perte,TRUE
213,0223_01,Earth,FALSE,G/35/S,TRAPPIST-1e,21,FALSE,0,2,665,0,9,Evan Sykess,FALSE
214,0224_01,Mars,FALSE,F/42/S,TRAPPIST-1e,32,TRUE,181,0,5,1634,0,Blues Queen,FALSE
215,0225_01,Earth,TRUE,G/38/P,PSO J318.5-22,58,FALSE,0,0,0,0,0,Carly Hortis,TRUE
216,0229_01,Earth,FALSE,F/43/S,TRAPPIST-1e,24,FALSE,4,7,0,713,79,Done Sellahaney,FALSE
217,0231_01,Mars,FALSE,F/44/S,TRAPPIST-1e,30,FALSE,85,0,1,1720,0,Krus Nate,FALSE
219,0233_01,Mars,FALSE,F/45/S,TRAPPIST-1e,32,FALSE,56,0,256,1438,0,Teda Wist,FALSE
221,0237_01,Europa,TRUE,B/11/P,TRAPPIST-1e,42,FALSE,0,0,0,0,0,Weias Aginge,TRUE
223,0240_01,Mars,TRUE,F/52/P,TRAPPIST-1e,35,FALSE,0,0,0,0,0,Puffes Crie,TRUE
226,0243_01,Earth,TRUE,G/37/S,TRAPPIST-1e,21,FALSE,0,0,0,0,0,Lilace Cartyernan,FALSE
229,0245_01,Europa,FALSE,C/6/P,55 Cancri e,46,FALSE,0,3571,0,0,7,Glueba Repumparte,TRUE
230,0245_02,Europa,FALSE,C/6/P,TRAPPIST-1e,33,FALSE,0,86,796,584,10912,Anchib Repumparte,FALSE
231,0246_01,Mars,FALSE,D/8/P,TRAPPIST-1e,21,FALSE,2947,0,287,27,0,Mele Sesa,FALSE
232,0248_01,Europa,FALSE,C/10/S,TRAPPIST-1e,33,FALSE,0,1,0,8620,1063,Genifi Spanxibus,FALSE
235,0252_01,Earth,FALSE,F/53/P,TRAPPIST-1e,30,FALSE,335,695,541,0,0,Leenny Byerry,FALSE
236,0253_01,Earth,FALSE,G/42/P,TRAPPIST-1e,29,FALSE,272,615,0,0,1,Dawne Cardner,FALSE
237,0254_01,Earth,FALSE,F/54/P,TRAPPIST-1e,21,FALSE,702,172,408,2,6,Race Stenson,TRUE
238,0255_01,Europa,TRUE,A/3/S,TRAPPIST-1e,24,FALSE,0,0,0,0,0,Ashir Mingious,TRUE
240,0257_02,Mars,TRUE,F/49/S,TRAPPIST-1e,60,FALSE,0,0,0,0,0,Squars Berte,TRUE
241,0258_01,Earth,FALSE,F/50/S,TRAPPIST-1e,22,FALSE,0,0,313,299,92,Feryla Cooperkins,FALSE
242,0260_01,Europa,FALSE,E/16/S,TRAPPIST-1e,26,FALSE,0,4810,0,981,2054,Segino Inderly,FALSE
243,0261_01,Earth,FALSE,F/56/P,TRAPPIST-1e,26,FALSE,66,29,0,0,803,Dord Bookerson,FALSE
244,0263_01,Earth,TRUE,G/43/P,TRAPPIST-1e,28,FALSE,0,0,0,0,0,Maen Merkins,TRUE
246,0267_01,Earth,FALSE,F/51/S,TRAPPIST-1e,13,FALSE,118,0,0,754,1,Lilace Sancockett,FALSE
247,0269_01,Earth,FALSE,F/52/S,55 Cancri e,47,FALSE,0,231,592,0,0,Lerome Polliamposs,TRUE
248,0270_01,Earth,FALSE,F/59/P,TRAPPIST-1e,63,FALSE,0,25,128,0,1240,Cathya Fryersonis,FALSE
250,0277_01,Earth,FALSE,F/61/P,55 Cancri e,50,FALSE,44,2390,0,53,0,Byront Mcdanield,TRUE
252,0278_02,Earth,FALSE,G/45/P,TRAPPIST-1e,45,FALSE,0,97,0,14,333,Marice Beachez,FALSE
253,0281_01,Earth,FALSE,F/63/P,TRAPPIST-1e,19,FALSE,0,0,2078,0,0,Derine Pierry,TRUE
254,0282_01,Earth,FALSE,F/54/S,TRAPPIST-1e,21,FALSE,0,918,0,0,0,Valex Baketton,TRUE
255,0283_01,Earth,TRUE,G/46/P,PSO J318.5-22,29,FALSE,0,0,0,0,0,Jacky Santin,TRUE
256,0283_02,Earth,FALSE,F/64/P,TRAPPIST-1e,22,FALSE,146,654,1,0,2,Roydo Santin,TRUE
257,0285_01,Europa,TRUE,E/16/P,TRAPPIST-1e,14,FALSE,0,0,0,0,0,Krabik Invebodene,TRUE
258,0285_02,Europa,TRUE,E/16/P,55 Cancri e,42,FALSE,0,0,0,0,0,Grasath Invebodene,TRUE
259,0286_01,Earth,FALSE,F/65/P,55 Cancri e,57,FALSE,3,1281,29,162,13,Carita Jimes,FALSE
261,0287_02,Europa,FALSE,B/12/P,TRAPPIST-1e,28,FALSE,0,587,32,6,1460,Alasym Bootty,FALSE
262,0288_01,Earth,FALSE,F/55/S,55 Cancri e,19,FALSE,0,0,0,0,828,Gory Delez,FALSE
263,0289_01,Europa,TRUE,C/12/S,55 Cancri e,19,FALSE,0,0,0,0,0,Furuson Objeciane,TRUE
264,0290_01,Europa,FALSE,B/7/S,55 Cancri e,26,FALSE,0,4458,0,1157,262,Skaton Excialing,TRUE
265,0290_02,Europa,TRUE,B/7/S,TRAPPIST-1e,17,FALSE,0,0,0,0,0,Algor Excialing,TRUE
267,0290_04,Europa,FALSE,B/7/S,55 Cancri e,9,FALSE,0,0,0,0,0,Atino Excialing,TRUE
268,0291_01,Europa,FALSE,D/10/S,TRAPPIST-1e,40,FALSE,0,6500,88,1090,0,Castab Brakeril,TRUE
270,0297_01,Earth,FALSE,G/47/P,TRAPPIST-1e,24,FALSE,90,2,1324,17,0,Ernice Gardonadox,TRUE
271,0298_01,Europa,TRUE,A/3/P,55 Cancri e,57,FALSE,0,0,0,0,0,Ashird Sorbitter,TRUE
273,0302_01,Earth,FALSE,F/67/P,TRAPPIST-1e,23,FALSE,0,0,15,0,1370,Lesley Shephendry,FALSE
275,0304_01,Europa,FALSE,E/18/S,TRAPPIST-1e,28,FALSE,0,422,0,1851,5166,Betena Ausivetpul,FALSE
276,0305_01,Europa,FALSE,C/7/P,55 Cancri e,23,FALSE,0,584,0,20,2469,Suhelik Geousker,FALSE
277,0306_01,Earth,FALSE,E/19/S,TRAPPIST-1e,23,FALSE,368,175,259,1,101,Dony Estevesters,FALSE
278,0307_01,Earth,FALSE,F/59/S,TRAPPIST-1e,18,FALSE,0,0,1359,0,0,Natald Hickett,TRUE
279,0309_01,Earth,FALSE,F/60/S,TRAPPIST-1e,18,FALSE,1194,0,157,6,0,Billya Bowerson,FALSE
281,0313_01,Earth,FALSE,F/68/P,PSO J318.5-22,60,FALSE,7,540,1,0,4,Briney Mckinsond,TRUE
283,0313_03,Earth,FALSE,F/68/P,55 Cancri e,49,FALSE,331,0,0,318,0,Jaimer Mckinsond,TRUE
